team,Avg Total Yds,Avg Pass Yds,Avg Rush Yds,Avg TDs,Avg Fantasy Pts
SF,398.9,286.7,112.2,4.6,59.5
GB,393.8,277.6,116.2,3.1,34.0
DET,387.2,261.6,125.6,4.6,57.9
BAL,378.5,251.1,127.4,3.9,47.3
PHI,368.1,250.8,117.3,4.0,51.8
KC,321.4,292.2,29.1,3.1,32.1
CIN,306.1,271.9,34.2,3.2,32.1
DAL,300.3,265.4,34.9,3.0,34.5
HOU,296.8,263.2,33.5,3.0,35.7
BUF,294.5,269.2,25.2,2.9,31.5
LAR,107.7,0.0,107.7,1.5,32.7
ATL,96.2,0.0,96.2,1.4,25.9
MIA,95.1,0.0,95.1,1.6,29.0
NYJ,94.8,0.0,94.8,1.6,30.6
IND,90.7,0.0,90.7,1.0,14.7
MIN,4.7,0.0,4.7,1.0,23.0
ARI,0.0,0.0,0.0,0.5,11.5
CLE,0.0,0.0,0.0,0.5,10.1
JAC,0.0,0.0,0.0,0.5,10.6
